Bianca_ I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.,?
Combination.  I don't know -- I thought he'd be different.  More of a gentleman...,?
Is he oily or dry?,?
He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all_ but he's not exactly relevant party conversation.,?
Would you mind getting me a drink_ Cameron?,?
Great,?
Joey.,?
Who?,?
Where did he go?  He was just here.,?
You might wanna think about it,?
No.,?
Did you change your hair?,?
You know the deal.  I can ' t go if Kat doesn't go --,?
Listen_ I want to talk to you about the prom.,m
You're concentrating awfully hard considering it's gym class.,m
Hi_ Joey.,?
Hey_ sweet cheeks.,m
My agent says I've got a good shot at being the Prada guy next year.,m
Neat...,?
It's a gay cruise line_ but I'll be_ like_ wearing a uniform and stuff.,m
Queen Harry?,?
"So yeah_ I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.",m
Hopefully.,?
Exactly  So_ you going to Bogey Lowenbrau's thing on Saturday?,m
Expensive?,?
It's more,m
Perm?,f
Patrick -- is that- a.,?
It's just you.,f
Is that woman a complete fruit-loop or is it just me?,?
No! I just wanted,?
What? To completely damage me?  To send me to therapy forever? What?,f
I just wanted --,?
You set me up.,f
Let go!,?
So did you,f
You looked beautiful last night_ you know.,?
I guess I'll never know_ will I?,?
Not all experiences are good_ Bianca. You can't always trust the people you want to.,f
God_ you're just like him! Just keep me locked away in the dark_ so I can't experience anything for myself,?
I guess I thought I was protecting you.,f
I'm not stupid enough to repeat your mistakes.,?
That's not,f
No. you didn't!  If you really thought I could make my own decisions_ you would've let me go out with him instead of helping Daddy hold me hostage.,?
I wanted to let you make up your own mind about him.,f
Why didn't you tell me?,?
"After that_ I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party_ and my stunning gastro-intestinal display --",f
But,?
Just once.  Afterwards_ I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.,f
You did what?,?
He said everyone was doing it.  So I did it.,f
As in...,?
Now I do.  Back then_ was a different story.,f
But you hate Joey,?
He was_ like_ a total babe,f
Why?,?
In 9th.  For a month,f
What?,?
Joey never told you we went out_ did he?,f
I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go_ because you won ' t.,?
I do care. But I'm a firm believer in doing something for your own reasons_ not someone else ' s .,f
Like you care.,?
Listen_ I know you hate having to sit home because I'm not Susie High School.,f
You're welcome.,f
I don't get you.  You act like you're too good for any of this_ and then you go totally apeshit when you get here.,?
I really don't think I need any social advice from you right now.,?
Bianca_ I need to talk to you -- I need to tell you --,f
Can we go now?,f
You are so completely unbalanced.,?
Yeah_ he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out_ I should obsess over a dead guy_ too.,?
It's Shakespeare.  Maybe you've heard of him?,f
Like I'm supposed to know what that even means.,?
At least I'm not a clouted fen- sucked hedge-pig.,f
Can't you forget for just one night that you're completely wretched?,?
Bogey Lowenstein's party is normal_ but you're too busy listening to Bitches Who Need Prozac to know that.,?
What's normal?,f
You're ruining my life'  Because you won't be normal_ I can't be normal.,?
I think you're a freak.  I think you do this to torture me.  And I think you suck.,?
What do you think?,f
Oh_ I thought you might have a date  I don't know why I'm bothering to ask_ but are you going to Bogey Lowenstein's party Saturday night?,?
It means that Gigglepuss is playing at Club Skunk and we're going.,f
Oh my God_ does this mean you're becoming normal?,?
Can you at least start wearing a bra?,?
I have the potential to smack the crap out of you if you don't get out of my way.,f
Nowhere... Hi_ Daddy.,?
Where've you been?,f
I have a date_ Daddy.  And he ' s not a captain of oppression like some men we know.,?
I'm missing something.,m
Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!,?
You're not going unless your sister goes.  End of story.,m
"He's not a ""hot rod"".  Whatever that is.",?
It's that hot rod Joey_ right? That ' s who you want me to bend my rules for?,m
No_ but,?
The prom?  Kat has a date?,m
Daddy_ I want to discuss the prom with you. It's tomorrow night --,?
Because she'll scare them away.,m
Why?,?
Promise me you won't talk to any boys unless your sister is present.,m
Just for a minute,m
Daddy_ no!,?
Wear the belly before you go.,m
It's just a party. Daddy.,?
Oh_ God.  It's starting.,m
If Kat's not going_ you're not going.,m
Daddy_ people expect me to be there!,?
"It's just a party. Daddy_ but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --",?
Otherwise known as an orgy?,m
If you must know_ we were attempting to go to a small study group of friends.,?
And where're you going?,m
Daddy_ I --,?
Exactly my point,m
But she doesn't want to date.,?
But it's not fair -- she's a mutant_ Daddy!,?
Then neither will you.  And I'll get to sleep at night.,m
What if she never starts dating?,?
No! You're not dating until your sister starts dating.  End of discussion.,m
Now don't get upset. Daddy_ but there's this boy... and I think he might ask...,?
Just sent 'em through.,?
Padua girls.  One tall_ decent body. The other one kinda short and undersexed?,m
Never,?
Fan of a fan.  You see a couple of minors come in?,m
Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,?
Always a pleasure_ Brucie.,m
Best case scenario_ you're back on the payroll for awhile.,m
You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,m
No_ I ' m not.,m
Buttholus extremus.  But hey_ you're making progress.,m
The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?,m
Extremely unfortunate maneuver.,m
Hell_ I've just been going over the whole thing in my head and -,m
You told me that part already.,m
It's her favorite band.,m
Assail your ears for one night.,m
Okay!  I wasn't sure,m
He's pretty!,m
Dead at forty-one.,m
Her favorite uncle,m
It's a lung cancer issue,m
Number one.  She hates smokers,m
Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.,m
Will Bogey get bent?,m
In that case_ we'll need to make it a school-wide blow out.,m
This is it.  A golden opportunity. Patrick can ask Katarina to the party.,m
Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle_ you're in a position of power. We let him pretend he's calling the shots_ and while he's busy setting up the plan_ you have time to woo Bianca.,m
You got him involved?,m
Hey -- I've gotta have a few clients when I get to Wall Street.,m
I thought you hated those people.,m
You know_ if you do go out with Bianca_ you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.,m
That's what I just said,m
Did she actually say she'd go out with you?,m
Forget his reputation.  Do you think we've got a plan or not?,m
I'm serious_ man_ he's whacked.  He sold his own liver on the black market so he could buy new speakers.,m
They always let felons sit in on Honors Biology?,m
No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,m
He seems like he thrives on danger,m
What makes you think he'll do it?,m
You wanna go out with him?,m
What about him?,m
Unlikely_ but even so_ she still can't go out with you.  So what's the point?,m
I teach her French_ get to know her_ dazzle her with charm and she falls in love with me.,m
The mewling_ rampalian wretch herself.,m
That's her?  Bianca's sister?,m
Yeah_ just a minor encounter with the shrew.,m
You could consecrate with her_ my friend.,m
You mean I'd get a chance to talk to her?,m
Guess who just signed up for a tutor?,m
Sure do ... my Mom's from Canada,m
You know French?,m
Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron_ but he's number twelve in the class.  And a model.  Mostly regional stuff_ but he's rumored to have a big tube sock ad coming out.,m
He always have that shit-eating grin?,m
Because they're bred to.  Their mothers liked guys like that_ and their grandmothers before them. Their gene pool is rarely diluted.,m
Why do girls like that always like guys like that?,m
I could start with your haircut_ but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.,m
Why not?,m
Bianca Stratford.  Sophomore. Don't even think about it,m
Who is she?,m
You burn_ you pine_ you perish?,m
That girl -- I --,m
Yeah_ but these guys have never seen a horse.  They just jack off to Clint Eastwood.,m
That I'm used to.,m
Couple thousand. Most of them evil,m
How many people go here?,m
Get out!,m
Thirty-two.,m
How many people were in your old school?,m
Yeah.  A couple.  We're outnumbered by the cows_ though.,m
I was kidding. People actually live there?,m
North_ actually.  How'd you   ?,m
So -- which Dakota you from?,m
C'mon.  I'm supposed to give you the tour.,m
So they tell me...,m
You the new guy?,m
You get the girl.,m
What's the worst?,m
Where?,m
She kissed me.,m
You makin' any headway?,m
She just needs time to cool off I'll give it a day.,m
She hates you with the fire of a thousand suns .  That's a direct quote,m
I don ' t know.  I decided not to nail her when she was too drunk to remember it.,m
What'd you do to her?,m
Then_ go get her,m
Sure,m
Cameron -- do you like the girl?,m
She's partial to Joey_ not me,m
What 're you talking about?,m
It's off. The whole thing.,m
Cameron_ I'm a little busy,m
Don't make me do it_ man,m
Gigglepuss is playing there tomorrow night.,m
So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,m
"Okay -- Likes:  Thai food_ feminist prose_ and ""angry_ stinky girl music of the indie-rock persuasion"".",m
I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,m
What've you got for me?,m
Yeah -- we'll see.,m
And he means that strictly in a non- prison-movie type of way.,m
And why would I do that?,m
Leave my sister alone.,f
Your sister here?,m
Away.,f
Where ya goin?,m
Not at all,m
Hey -- do you mind?,f
They're running the rest of me next month.,m
Yeah_ and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.,f
The vintage look is over_ Kat. Haven't you been reading your Sassy?,m
Enough with the Barbie n' Ken shit. I know.,m
I don't know_ Dorsey. ..the limo.-the flowers.  Another hundred for the tux --,m
Get her to act like a human,m
Do what?,m
How'd you do it?,m
A deal's a deal.,m
It's about time.,m
Forget her sister_ then.,m
Forget it.,m
A hundred bucks a date.,m
What?,m
I just upped my price,m
I got her under control. She just acts crazed in public to keep up the image.,m
Watching the bitch trash my car doesn't count as a date.,m
I'm on it,m
When I shell out fifty_ I expect results.,m
Fifty_ and you've got your man.,m
Take it or leave it.  This isn't a negotiation.,m
Fine_ thirty.,m
I can't take a girl like that out on twenty bucks.,m
How much?,m
I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.,m
You're gonna pay me to take out some girl?,m
You got it_ Verona.  I pick up the tab_ you do the honors.,m
But you'd go out with her if you had the cake?,m
You need money to take a girl out,m
You just said,m
Sure_ Sparky.  I'll get right on it.,m
Yeah_ whatever.  I want you to go out with her.,m
Two legs_ nice rack...,m
What do you think?,m
Yeah,m
Hey -- it's all for the higher good right?,m
You better not fuck this up.  I'm heavily invested.,m
What?  We took bathes together when we were kids.,m
You and Verona?,m
Uh_  yeah.  We're old friend*,m
I hear you're helpin' Verona.,m
So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.,m
Does this conversation have a purpose?,m
But she can't go out with you because her sister is this insane head case and no one will go out with her. right?,m
We're not.,m
Well_ actually_ I thought I'd run an idea by you.  You know_ just to see if you're interested.,m
We don't chat.,m
Nope - just came by to chat,m
Are you lost?,m
Hey.,m
Oh_ honey -- tell me we haven't' progressed to full-on hallucinations.,f
William - he asked me to meet him here.,f
Who?,f
Have you seen him?,f
Oh_ good.  Something new and different for us.,f
You ' re looking at this from the wrong perspective.  We're making a statement.,f
Okay_ okay_ we won't go.  It's not like I have a dress anyway,f
Listen to you!  You sound like Betty_ all pissed off because Archie is taking Veronica.,f
Well_ I guess we're not_ since we don't have dates .,f
Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,f
I got drunk.  I puked.  I got rejected. It was big fun.,f
You didn't,f
I did Bianca a favor and it backfired.,f
You didn't have a choice?  Where's Kat and what have you done with her?,f
I didn't have a choice.,f
You went to the party?  I thought we were officially opposed to suburban social activity.,f
Who cares?,f
What'd he say?,f
No fear.,f
You think this'll work?,f
"If I was Bianca_ it would be_ ""Any school you want_ precious.  Don't forget your tiara.""",f
Does it matter?,f
I appreciate your efforts toward a speedy death_ but I'm consuming.  Do you mind?,f
Neither has his heterosexuality.,f
That's never been proven,f
William didn't even go to high school,f
William would never have gone to a state school.,f
So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated_ puking frat boy_ number one golf team school. I have no say at all.,f
You could always go with me.  I'm sure William has some friends.,f
The people at this school are so incredibly foul.,f
But imagine the things he'd say during sex.,f
I realize that the men of this fine institution are severely lacking_ but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.,f
An attempted slit.,f
What's this?,f
Just a little.,f
Mandella_ eat.  Starving yourself is a very slow way to die.,f
Block E?,f
He always look so,f
I'm sure he's completely incapable of doing anything that interesting.,f
That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.,f
Patrick Verona   Random skid.,f
Who's that?,f
Don ' t you even dare. . .,m
Oh_ Bianca?  Can you get me my freshman yearbook?,f
Because I like to torture you.,m
Why is my veggie burger the only burnt object on this grill?,f
Yeah_ but then I fucked up. I fell for her.,m
Is that right?,f
Besides_ I had some extra cash. Some asshole paid me to take out a really great girl.,m
I thought you could use it. When you start your band.,m
A Fender Strat. You bought this?,f
I didn't care about the money.,m
Really?  What was it like?  A down payment now_ then a bonus for sleeping with me?,f
It wasn't like that.,m
You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,f
Wait I...,m
It gets worse -- you still have your freshman yearbook?,m
That ' s completely adorable!,f
That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail_ I don't know Marilyn Manson_ and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.,m
What?,f
My grandmother's .,m
Look_ I'm  -- sorry -- that I questioned your motives.  I was wrong.,f
Oh huh,m
It's just something I had.  You know,f
It's Scurvy's.  His date got convicted. Where'd you get the dress?,m
How'd you get a tux at the last minute?,f
Nothing!  There's nothing in it for me. Just the pleasure of your company.,m
Answer the question_ Patrick,f
You need therapy.  Has anyone ever told you that?,m
You tell me.,f
So I have to have a motive to be with you?,m
Create a little drama?  Start a new rumor?  What?,f
Because I don't want to. It's a stupid tradition.,f
Why not?,m
No_ I won't go with you,f
No what?,m
No.,f
You know what I mean,m
Is that a request or a command?,f
Go to the prom with me,m
You're amazingly self-assured. Has anyone ever told you that?,f
No one else knows,m
What?,f
You're sweet.  And sexy.  And completely hot for me.,m
No -- something real.  Something no one else knows.,f
I hate peas.,m
Tell me something true.,f
I know the porn career's a lie.,f
Hearsay.,m
The duck?,f
Fallacy.,m
State trooper?,f
For. . . ?,f
You up for it?,m
You never disappointed me.,m
How?,f
Then you screwed up,m
Something like that,f
So if you disappoint them from the start_ you're covered?,m
I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.,f
Yes,m
Acting the way we do.,f
So what's your excuse?,m
Yeah_ well_ don't let it get out,f
A soft side? Who knew?,m
I dazzled him with my wit,f
So how'd you get Chapin to look the other way?,m
Good call.,f
I figured it had to be something ridiculous to win your respect.  And piss you off.,m
The Partridge Family?,f
Maybe.,m
You want me to climb up and show you how to get down?,f
Forget it.  I'm stayin'.,m
Put your right foot there --,f
Try lookin' at it from this angle,m
C'mon.  It's not that bad,f
I guess I never told you I'm afraid of heights.,m
Look up_ sunshine,m
He left!  I sprung the dickhead and he cruised on me.,f
Other than my upchuck reflex? Nothing.,f
So what did I have an effect on ?,m
Don't for one minute think that you had any effect whatsoever on my panties.,f
Unwelcome?  I guess someone still has her panties in a twist.,m
Unwelcome.,f
Wholesome.,m
Pleasant?,m
You 're so --,f
I heard there was a poetry reading.,m
What are you doing here?,f
Excuse me_ have you seen The Feminine Mystique?  I lost my copy.,m
No offense_ but you're sister is without.  I know everyone likes her and all_ but ...,m
BIANCA,f
Who?,m
He just wants me to be someone I'm not.,f
So what ' s up with your dad?  He a pain in the ass?,m
I'm gettin' there,m
Oh_ so now you think you know me?,f
You don't strike me as the type that would ask permission.,m
My father wouldn't approve of that that,f
Start a band?,m
This.,f
Do what?,m
I should do this.,f
Why'd you lie?,f
Then why'd you ask?,m
No_ you weren't,f
Maybe.,m
Were you in jail?,f
Busy,m
When you were gone last year -- where were you?,f
But it's Gigglepuss - I know you like them.  I saw you there.,f
And I'm in control of it.,m
What?,f
Kat! Wake up!,m
You know what they say,f
I thought you were above all that,m
"Hey man. . .  You don ' t think I can be ""cool""?  You don't think I can be ""laid back"" like everyone else?",f
I know.  It'd have to be a pretty big deal to get you to mainline tequila. You don't seem like the type.,m
I hate him.,f
Dorsey.,m
Who?,f
Why'd you let him get to you?,m
Just let me sit down.,f
See that?  Who needs affection when I've got blind hatred?,m
Like you could find one,f
Because then I'd have to start taking out girls who like me.,m
Why?,f
Sure_ I do,m
You don't care if I die,f
I told you,m
Why 're you doing this?,f
Leave it to you to use big words when you're shitfaced.,m
This is so patronizing.,f
What if you have a concussion? My dog went to sleep with a concussion and woke up a vegetable. Not that I could tell the difference...,m
I know_ just let me sleep,f
Uh_ uh. You lie down and you'll go to sleep,m
I just need to lie down for awhile,f
You're not okay.,m
I'm fine. I'm,f
Okay?,m
Funny_ you're the only one,f
I say_ do what you wanna do.,m
I'm getting trashed_ man. Isn't that what you're supposed to do at a party?,f
What's this?,m
Why_ don't you?,m
You know who The Raincoats are?,f
You know_ these guys are no Bikini Kill or The Raincoats_ but they're right up there.,m
Do you mind?  You're sort of ruining it for me.,m
That's what you want_ isn't it?,f
Excuse me?,m

hey.  Great show_ huh?,m
Depends on the topic. My fenders don't really whip me into a verbal frenzy.,f
You're not a big talker_ are you?,m
Hi,f
I was in the laundromat. I saw your car. Thought I'd say hi.,m
Are you following me?,f
Seven-thirty?,m
You -- covered in my vomit.,f
Come on -- the ponies_ the flat beer_ you with money in your eyes_ me with my hand on your ass...,m
And why would I do that?,f
Then say you'll spend Dollar Night at the track with me.,m
I don't really think you warrant that strong an emotion.,f
You hate me don't you?,m
I know a lot more than that,m
Like where?  The 7-Eleven on Burnside? Do you even know my name_ screwboy?,f
The night I take you to places you've never been before.  And back.,m
Oh_ right.  Friday.,f
Pick you up Friday_ then,m
My mission in life.,f
There's a way to get a guy's attention.,m
Sweating like a pig_ actually.  And yourself?,f
I mean Wo-man.  How ya doin'?,m
Oh_ Christ.  Don't tell me you've changed your mind.  I already sent 'em a check.,m
When I go?,f
You know_ fathers don't like to admit that their daughters are capable of running their own lives.  It means we've become spectators.  Bianca still lets me play a few innings.  You've had me on the bleachers for years.  When you go to Sarah Lawrence_ I won't even be able to watch the game.,m
No -- impressed.,m
What's the matter?  Upset that I rubbed off on her?,f
Bianca did what?,m
The part where Bianca beat the hell out of some guy.,f
Which parts?,m
Parts of it.,f
So tell me about this dance. Was it fun?,m
No_ Daddy.,f
I don't understand the allure of dehydrated food.  Is this something I should be hip to?,m
Funny.,m
Yeah.  She left with some bikers Big ones.  Full of sperm.,f
Was that your sister?,m
I want to go to an East Coast school! I want you to trust me to make my own choices.  I want --,f
You're eighteen.  You don't know what you want.  You won't know until you're forty-five and you don't have it.,m
So what I want doesn't matter?,f
As a parent_ that's my right,m
Because you're making decisions for me.,f
Why can't we agree on this?,m
I thought you were punishing me.,f
Is this about Sarah Lawrence? You punishing me?,m
Then tell them I had a seizure.,f
My insurance does not cover PMS,m
Enough!,m
This from someone whose diary is devoted to favorite grooming tips?,f
You decided.,f
I thought we decided you were going to school here.  At U of 0.,m
I know.,f
Just smack her now.,?
Am I supposed to feel better? Like_ right now?  Or do I have some time to think about it?,f
"No ... I believe ""heinous bitch"" is the term used most often.",?
Tempestuous?,f
The point is Kat -- people perceive you as somewhat ...,?
I still maintain that he kicked himself in the balls.  I was merely a spectator.,f
Well_ yes_ compared to your other choices of expression this year_ today's events are quite mild.  By the way_ Bobby Rictor's gonad retrieval operation went quite well_ in case you're interested.,?
Expressing my opinion is not a terrorist action.,f
Katarina Stratford.  My_ my.  You've been terrorizing Ms. Blaise again.,?
Yeah...,f
Kat a fan_ too?,m
Right.,f
Macbeth_ right?,m
Oh yeah.,m
You think?,f
Yeah.  I guess.,f
Cool pictures.  You a fan?,m
Hi.,f
Hey there.  Tired of breathing?,m
Man -- don't say shit like that to  me. People can hear you.,m
Sweet love_ renew thy force!,m
You were right. She's still pissed.,m
No - I've got a sweet-payin' job that I'm about to lose.,m
So you got cozy with she who stings?,m
I'm likin' you guys better,m
I prefer to think of it simply as an alternative to what the law allows.,m
Yeah.,m
Ever been to Club Skunk?,m
Just for now.,m
"Are you telling me I'm a -  ""non-smoker""?",m
Good enough.,m
What?!,m
We're your guys.,m
You two are gonna help me tame the wild beast?,m
Patrick_ Pat_ you're not looking at the big picture.  Joey's just a pawn. We set this whole thing up so Cameron can get the girl.,m
So Dorsey can get the girl?,m
That's where we can help you.  With Kat.,m
Dorsey can plow whoever he wants. I'm just in this for the cash.,m
I think I speak correctly when I say that Cameron's love is pure.  Purer than say -- Joey Dorsey's.,m
What is it with this chick?  She have three tits?,m
The situation is_ my man Cameron here has a major jones for Bianca Stratford.,m
What plan?,m
Whatever the hell it is you're standin' there waitin' to say.,m
What?,m
Say it,m
See you next week!,m
You're completely demented.,?
Well_ you know -- there's the prestige of the job title... and the benefits package is pretty good...,m
You weren't abused_ you aren't stupid_ and as far as I can tell_ you're only slightly psychotic -- so why is it that you're such a fuck-up?,?
What's to discuss?,m
Why don't we discuss your driving need to be a hemorrhoid?,?
I'm at a loss_ then.  What should we talk about? Your year of absence?,?
Touch of the flu.,m
I don't understand_ Patrick.  You haven't done anything asinine this week. Are you not feeling well?,?
With the teeth of your zipper?,?
It was a bratwurst.  I was eating lunch.,m
It says here you exposed yourself to a group of freshmen girls.,?
I missed you.,m
That ' s what I thought,m
Absolutely not.,?
Did I have anything to say about it?,m
Your daughters went to the prom.,?
What just happened?,m
But -- who -- what --?,m
Have a great time_ honey!,?
Dr. Ruth?,?
What do you wanna watch?  We've got crap_ crap_ crap or crap,m
Kissing?  Is that what you think happens?  Kissing isn't what keeps me up to my elbows in placenta all day.,m
They'll dance_ they'll kiss_ they'll come home.  Let her go.,?
Pirate -- no question.,m
Would you rather be ravished by a pirate or a British rear admiral?,?
You're not helping.,m
Tumescent!,?
Jesus!  Can a man even grab a sandwich before you women start dilating?,m
Sarah Lawrence is on the other side of the country.,m
What's a synonym for throbbing?,?
Make anyone cry today?,m
In the microwave.,?
Can't be that far_ I say.  Also_ I don't like the smell of the sea around here.  Smells like a cunt. Bad sign...,?
We left three weeks ago_ Alonso. Can't be that near.,?
We should have seen land.,?
We'll all go crazy...,?
He's the devil's child...,?
With a face like that?  I don't want you looking at me.  You hear?,?
Ah_ leave him alone.  He's doing no harm.,?
What are you listening to_ chicken ass?,?
You'll be drinking your own piss... For the glory of Spain... and Admiral Colon...!  Bastard!,?
The water's going putrid in the barrels.,?
I never seen heat like this!  Not even in Las Minas!,?
IF-GOD-WILLS-IT!,?
Asia can be found to the west -- and I will prove it.,m
Blind faith is what I consider heresy!,m
Don't you realize your words could be considered heretical?,?
Did He not choose a carpenter's son to reveal Himself to the world?,m
If God intended our proximity to Asia_ do you believe he would have waited for you to show it to the world?,?
No.  The Portuguese have already discovered black-skinned people.  I_ too_ will find other populations -- and bring them to the word of God.,m
Is that all that interests you? Gold?,?
Trade_ Your Excellency.  According to Marco Polo_ the Kingdom of China is one of the richest of the world. Even the meanest buildings are roofed with gold.,m
If they agree to follow me_ yes.,m
Your life_ and that of others!,?
Your Eminence_ there is only one way to settle the matter.  And that is to make the journey.  I am ready to risk my life to prove it possible.,m
Excellency_ you are right.,m
Senor Colon_ an experienced captain such as yourself will understand our concern with the crew.  I am not willing to have on my conscience the loss of men who would have relied upon our judgment.,?
Then you cannot ignore that according to their calculations_ the circumference of the Earth is approximately...  22_000 leagues or more.  Which makes the ocean... uncrossable.,?
I am_ Your Eminence,m
Unfortunately_ Don Colon_ that is precisely where our opinions differ...  Are you familiar with the work of Aristotle?  Erathostene?  Ptolemeus?,?
Yes_ your Eminence.  The voyage should not take more than six or seven weeks.,m
You say Asia can be found by sailing west?,?
A waste...?  Let me tell you something_ Arojaz.  If your name_ or mine_ is ever remembered -- it will only be because of his.,?
What a tragedy... what a waste of a life...,?
You can see for yourself.,?
On the contrary_ Your Eminence.  It seems to me the man is preparing his own cross.,?
It won't be easy to get rid of your prophet now_ Don Sanchez.,?
Indeed.  The world is full of mercenaries -- and states often make use of them_ when it benefits them.  My only concern is the welfare and prosperity of Spain.,?
He is a mercenary!  Did he not already try to convince the King of Portugal of his absurd notions?,?
Naturally.  But I would really deplore the loss of such a potential opportunity for Spain for a... dispute over a point of geography.,?
The Judgment is ours!,?
The State has some reason to be interested in this man's proposition_ Your Eminence...,?
I can't keep my eyes off you.  I would like to catch up with all the moments I didn't spend with you.,m
What is it_ now?  Tell me...,?
I am busy inside.,?
Can't you stay with us a little?,m
Not everything... Do you think I care?  I'm a free man again.  Riches don't make a man rich_ they only make him busier...,m
They took everything...,?
They tried... but I didn't let them.,?
God... you're so beautiful!  I can't believe no other man has ever taken you away from me...,m
I can arrange for the Queen to take Fernando and Diego into her service.,m
You don't usually ask.,?
Beatrix_ I want to ask you something.,m
That's something you can't decide.,?
I don't want you to wait for me.,m
I'm not asking you to swear to anything.,?
Thank God...,?
She said yes.,m
I find that hard to believe.,?
Perhaps I was never meant to live with a woman...,m
I'd love to argue with you sometimes.  But you're never here!,?
